"","Strong","SensitiveLethality","SensitiveRecovery"
"CTNNB1;GRB2",-0.180146111846286,-0.180146111846286,NA
"CTNNB1;HDAC1",-0.10638021724388,-0.10638021724388,NA
"CTNNB1;HPRT1",-0.203586021504121,-0.203586021504121,NA
"CTNNB1;HSP90AA1",-0.166281373387909,-0.166281373387909,NA
"CTNNB1;HSP90B1",-0.153561886839874,-0.153561886839874,NA
"CTNNB1;IGF1R",-0.120903231066802,-0.120903231066802,NA
"CTNNB1;IGFBP5",-0.159943247348552,-0.159943247348552,NA
"CTNNB1;INSR",-0.155145496034263,-0.155145496034263,NA
"CTNNB1;IRS1",-0.114310843182013,-0.114310843182013,NA
"CTNNB1;JUN",-0.187535704564815,-0.187535704564815,NA
"CTNNB1;LIMK1",-0.124250927573429,-0.124250927573429,NA
"CTNNB1;MAP2K1",-0.124602143523851,-0.124602143523851,NA
"CTNNB1;MAP3K1",-0.145645619358152,-0.145645619358152,NA
"CTNNB1;MAPK1",-0.14754142275681,-0.14754142275681,NA
"CTNNB1;MAPK13",-0.146957018094692,-0.146957018094692,NA
"CTNNB1;MAPK3",-0.171007825525635,-0.171007825525635,NA
"CTNNB1;MAPK8",-0.110162914404581,-0.110162914404581,NA
"CTNNB1;MTOR",-0.0776797910384073,NA,0.0776797910384073
"CTNNB1;MYC",-0.132210384403389,-0.132210384403389,NA
"CTNNB1;NRAS",-0.157961884903247,-0.157961884903247,NA
"CTNNB1;NXF2",-0.229481360377804,-0.229481360377804,NA
"CTNNB1;NXF2B",-0.128700751317172,-0.128700751317172,NA
"CTNNB1;PARP1",-0.134791432671485,-0.134791432671485,NA
"CTNNB1;PIK3CA",-0.148289282180272,-0.148289282180272,NA
"CTNNB1;PLD1",-0.180255715040955,-0.180255715040955,NA
"CTNNB1;PLK1",-0.114311389535741,NA,0.114311389535741
"CTNNB1;POLD1",-0.188846676015199,-0.188846676015199,NA
"CTNNB1;PSMB2",-0.158087496876073,NA,0.158087496876073
"CTNNB1;PSMB5",-0.0939922764441525,NA,0.0939922764441525
"CTNNB1;RHEB",-0.185807103604907,-0.185807103604907,NA
"CTNNB1;TGFBR2",-0.186232821688558,-0.186232821688558,NA
"CTNNB1;TOP2A",-0.145579568776924,-0.145579568776924,NA
"CTNNB1;TRIB2",-0.134142128879178,-0.134142128879178,NA
"CTNNB1;TRIM25",-0.12585342838513,-0.125853428385131,NA
"CTNNB1;ULK1",-0.184712082853262,-0.184712082853262,NA
"CTNNB1;UPF2",-0.167596831853504,-0.167596831853504,NA
"CTNNB1;UPF3A",-0.207520049267589,-0.207520049267589,NA
"CTNNB1;WNT5A",-0.114596348900832,-0.114596348900832,NA
"DHFR;ETF1",-0.16049826958715,NA,-0.133773780408478
"DHFR;EZH2",-0.0423654543409192,-0.0423654543409192,NA
"DHFR;GART",0.0523077330164611,0.0523077330164611,NA
"DHFR;GRB2",-0.0135322448725308,-0.0135322448725308,NA
